City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
תל אביב -יפו,קרית שלום,4,13,6,243,191377,8,159,202,12,5,6,217
תל אביב -יפו,רביבים,2,11,2,234,178045,3,184,214,5,1,4,301
תל אביב -יפו,רמת אביב,3,17,4,234,119053,4,160,222,13,8,2,222
תל אביב -יפו,רמת אביב ג,2,16,3,413,316146,12,163,155,7,10,4,170
תל אביב -יפו,רמת אביב החדשה,1,9,2,330,232524,1,154,204,5,5,2,125
תל אביב -יפו,רמת החייל,4,10,3,248,130304,5,193,256,7,3,6,190
תל אביב -יפו,רמת הטייסים,1,5,1,204,159940,1,118,182,4,1,1,168
תל אביב -יפו,שפירא,2,15,3,244,330481,3,217,245,6,3,14,261
תל אביב -יפו,תכנית ל,1,14,1,241,113808,1,158,226,4,4,4,491
תל אביב -יפו,תל ברוך,1,5,2,366,351396,5,150,173,4,1,1,267
תל אביב -יפו,תל ברוך צפון,1,8,2,298,238320,5,226,185,1,3,4,193
תל אביב -יפו,תל חיים,1,2,2,185,252020,3,206,165,5,1,1,281
תל אביב -יפו,תל כביר/נווה עופר/יפו ב,2,9,2,234,197986,3,174,206,5,4,4,170
חולון,אגרובנק,4,15,1,172,136380,4,269,229,15,78,1,70
חולון,ג'סי כהן,6,29,5,176,85683,8,224,210,10,14,7,102
חולון,גרין,4,19,2,192,123248,2,271,262,8,49,12,87
חולון,ח-501 - שדרת המגדלים,4,15,2,222,53981,3,259,228,8,8,3,61
חולון,מולדת - דרום חולון,4,15,2,222,123601,3,222,392,8,3,3,470
חולון,מפדה אזרחי,3,4,4,174,91382,3,243,180,6,1,2,169
חולון,נאות יהודית,1,5,2,203,203672,3,237,237,8,2,3,87
חולון,נאות רחל,5,26,4,193,160023,3,237,234,19,65,7,74
חולון,נאות שושנים,1,6,2,247,55562,2,234,185,4,14,2,52
חולון,נווה ארזים,5,16,3,224,103608,4,258,269,8,5,13,143
חולון,נווה רמז,4,15,2,222,72452,4,238,214,7,10,3,92
חולון,קריית מיכה,4,2,2,222,59491,1,248,223,8,9,1,197
חולון,קריית שרת,2,10,3,310,178900,5,213,270,7,6,6,124
חולון,קרית בן גוריון,4,32,6,447,59997,7,253,273,18,8,3,152
חולון,קרית עבודה,1,13,5,254,101495,3,243,211,22,80,8,64
חולון,קרית פנחס איילון,3,30,3,253,90515,2,218,223,12,9,1,207
חולון,קרית רבין,1,8,2,306,70284,3,166,247,2,1,3,213
חולון,קרית שרת מערב,5,23,2,287,154376,3,181,258,6,9,3,109
חולון,רסקו א,4,16,2,158,118004,3,223,171,8,43,5,80
חולון,רסקו ב,4,8,2,222,154376,1,221,194,8,3,3,105
חולון,רסקו ג,1,1,2,221,243685,3,202,162,5,24,3,119
חולון,שיכון ותיקים,4,9,1,222,61073,2,188,192,1,13,1,81
חולון,תל גיבורים,5,33,1,223,89851,3,136,272,13,26,6,108
ראש העין,אביב,5,6,3,246,87433,1,299,396,5,23,10,97
ראש העין,גבעת הסלעים,1,7,1,271,90797,1,339,350,3,2,3,211
ראש העין,גבעת טל,2,4,7,303,136,1,256,550,10,7,2,189
ראש העין,הרקפות,2,4,1,303,87569,1,299,421,2,6,10,141
ראש העין,מצפה אפק,1,8,1,400,6996,1,245,498,3,4,5,120
ראש העין,נווה אפק,2,17,5,608,1597,4,376,596,11,6,4,278
ראש העין,פארק תעשיה אפק,2,1,1,303,87433,1,156,434,1,31,5,6
ראש העין,פסגות אפק,2,7,1,303,1597,1,299,585,4,3,5,888
ראש העין,פסגת טל,2,7,1,303,136,1,331,622,4,7,5,105
ראש העין,"צה""ל",1,10,1,356,98175,4,356,405,6,20,12,102
ראש העין,ראש העין צפון,2,7,1,303,87433,1,312,434,4,7,5,112
ראש העין,"רמב""ם",3,15,1,290,87814,3,437,434,4,25,23,77
ראש העין,שבזי,2,9,2,303,88086,1,326,384,5,21,5,91
