,City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
167,רעננה,קריית גנים,2.0,0.0,0.0,278.0,43743.0,2.0,252.0,241.0,3.0,4.0,0.0,199.0
168,רעננה,קריית דוד רמז,3.0,12.0,1.0,263.0,151374.0,7.0,290.0,148.0,8.0,18.0,4.0,167.0
169,רעננה,קריית ויצמן,1.0,10.0,0.0,171.0,108515.0,3.0,243.0,155.0,1.0,3.0,5.0,108.0
170,רעננה,קריית שרת,2.0,5.0,4.0,258.0,15545.0,4.0,249.0,243.0,9.0,4.0,9.0,161.0
171,רעננה,קרית הפרחים - 2005,2.0,7.0,0.0,185.0,85775.0,3.0,334.0,190.0,0.0,0.0,0.0,266.0
172,רעננה,"קרית שז""ר",3.0,2.0,6.0,344.0,110495.0,1.0,273.0,215.0,8.0,2.0,7.0,139.0
173,רעננה,רום 2000,0.0,0.0,0.0,0.0,44406.0,,296.0,203.0,0.0,0.0,0.0,151.0
174,שדרות,בן גוריון,1.0,0.0,1.0,395.0,4539.0,3.0,112.0,362.0,15.0,6.0,2.0,111.0
175,שדרות,בן גוריון ב,0.0,0.0,0.0,0.0,2772.0,,79.0,228.0,0.0,0.0,0.0,380.0
176,שדרות,נאות אביב,2.0,4.0,1.0,241.0,4745.0,1.0,168.0,398.0,11.0,4.0,6.0,60.0
177,שדרות,נאות אשכול,1.0,9.0,3.0,325.0,4539.0,1.0,140.0,383.0,21.0,13.0,4.0,60.0
178,שדרות,נאות הדקל,0.0,0.0,2.0,0.0,6513.0,,145.0,380.0,23.0,25.0,4.0,68.0
179,שדרות,נאות המייסדים,3.0,0.0,5.0,209.0,9284.0,,161.0,601.0,33.0,20.0,8.0,124.0
180,שדרות,נאות הנביאים,1.0,2.0,4.0,152.0,,,177.0,,20.0,1.0,4.0,225.0
